[Thu Feb 27 02:24:50.034977 2020] [php7:notice] [pid 12050] [client 192.168.20.16:62524] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.035936 2020] [php7:notice] [pid 12050] [client 192.168.20.16:62524] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.035975 2020] [php7:notice] [pid 12050] [client 192.168.20.16:62524] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.036079 2020] [php7:warn] [pid 12050] [client 192.168.20.16:62524] PHP Warning:  getimagesize(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 41, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.036113 2020] [php7:warn] [pid 12050] [client 192.168.20.16:62524] PHP Warning:  file_get_contents(): Filename cannot be empty in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.036150 2020] [php7:warn] [pid 12050] [client 192.168.20.16:62524] PHP Warning:  imagecreatefromstring(): Empty string or invalid image in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.036169 2020] [php7:warn] [pid 12050] [client 192.168.20.16:62524] PHP Warning:  imagecrop() expects parameter 1 to be resource, boolean given in /home/bnhfijvh-m2/upload.php on line 45, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.036184 2020] [php7:warn] [pid 12050] [client 192.168.20.16:62524] PHP Warning:  imagepng() expects parameter 1 to be resource, null given in /home/bnhfijvh-m2/upload.php on line 48, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.529113 2020] [php7:notice] [pid 12050] [client 192.168.20.16:62524] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/upload.php
[Thu Feb 27 02:24:50.530059 2020] [php7:notice] [pid 12050] [client 192.168.20.16:62524] PHP Notice:  Undefined index: img in /home/bnhfijvh-m2/upload.php on line 25, referer: http://bnhfijvh-m2.wsr.ru/upload.php
